t	f	mask
2047.54808156	0.999148033938	False
2047.5685134	0.999266707277	False
2047.58894514	0.999314319521	False
2047.60937678	0.999393752624	False
2047.62980861	0.999342214084	False
2047.65024035	0.999373558009	False
2047.67067209	0.999315541273	True
2047.69110383	0.999558263262	False
2047.71153557	0.999485299792	False
2047.73196741	0.999451581616	True
2047.75239905	0.999532748878	False
2047.77283079	1.00004049664	True
2047.79326253	0.999628333636	False
2047.81369427	0.999479374116	False
2047.83412601	0.99939397017	False
2047.85455785	0.999639058652	False
2047.87498949	0.999592182465	False
2047.89542133	0.999385345993	False
2047.91585307	0.999468372511	False
2047.93628471	0.999600521738	False
2047.95671655	0.999731407776	False
2047.97714829	0.999738598771	False
2047.99757994	0.999459853525	False
2048.01801178	0.999667323072	False
2048.03844352	0.999732209647	False
2048.05887536	0.999637353769	False
2048.07930701	0.999599419895	False
2048.09973875	0.999676541512	False
2048.12017059	0.999751174284	False
2048.14060223	0.999766391744	True
2048.16103398	0.999701741046	False
2048.18146582	0.999764761538	False
2048.20189746	0.999678673141	False
2048.22232931	0.999758969652	False
2048.24276105	0.999831501416	True
2048.2631927	0.99978606896	False
2048.28362454	0.999853220589	False
2048.30405628	0.999679403292	False
2048.32448803	0.999807860537	False
2048.34491977	0.99980661473	False
2048.36535152	0.999850491028	False
2048.38578316	0.999888303062	False
2048.40621501	0.999897619702	False
2048.42664676	0.999957472091	False
2048.4470785	0.999818204201	False
2048.46751025	0.999785748312	True
2048.48794199	0.999820184468	False
2048.50837384	0.999784481349	False
2048.52880549	0.999903443474	False
2048.54923723	0.999870911095	False
2048.56966908	0.999776883499	False
2048.59010073	0.999974585489	False
2048.61053258	0.999740883407	False
2048.63096432	0.999846288416	False
2048.65139597	0.999819132822	False
2048.67182782	0.999707410077	False
2048.69225957	0.999716797503	False
2048.71269122	0.999883191984	False
2048.73312307	0.999966722528	False
2048.75355481	1.00001574083	False
2048.77398666	1.00003198936	False
2048.79441831	0.999989293568	False
2048.81485006	1.00010343229	False
2048.83528191	1.00003101902	False
2048.85571356	0.999968559616	False
2048.87614531	1.00003277571	False
2048.89657716	0.999979182959	False
2048.91700881	1.00002638244	False
2048.93744056	1.00011913116	False
2048.95787241	1.00015713108	False
2048.97830416	1.000124097	False
2048.99873592	1.00026118098	False
2049.01916767	1.00015156988	False
2049.03959942	1.00012074688	False
2049.06003117	1.00010520961	False
2049.08046292	1.00008117023	False
2049.10089467	1.00017461093	False
2049.12132643	1.00019945789	False
2049.14175818	1.00025734317	False
2049.16218993	0.999924011867	True
2049.18262168	1.00017915967	False
2049.20305344	1.00050315699	False
2049.22348529	1.0003740326	False
2049.24391694	1.00024199992	False
2049.2643487	1.00938805076	True
2049.28478055	1.00021770344	False
